$android-foss-table;Google Calculator;AOSP Calculator;GrapheneOS Calculator;LineageOS Calculator;ArityCalc;CalculatorYOU;CuteCalc;Fossifiy Calculator;NumberHub;OpenCalc;yetCalc
Based on;AOSP Calculator;-;AOSP Calculator;AOSP Calculator;;;;;;;
General$title-row;;;;;;;;;;;
License;Closed-source$red;Apache-2.0$lgreen;Apache-2.0$lgreen;Apache-2.0$lgreen;Apache-2.0$lgreen;GPL-3.0 only$green;GPL-3.0 or later$green;GPL-3.0 only$green;GPL-3.0 only$green;GPL-3.0 only$green;BSD-3-Clause$lgreen
Import/export settings;No$red;;;;No$red;No$red;No$red;No$red;;;
Reproducible build;No$red;;;;;Yes$green;Yes$green;Yes$green;;;
Binary assets;Yes$red;;;;;No$green;No$green;No$green;;;
Code license of binary assets;Closed-source$red;;;;;-;-;-;;;
Connects to web service;No$red;;;;;No$green;No$green;No$green;;;
Code license of web service;Closed-source$red;;;;;-;-;-;;;
Self-host web service;No$red;;;;;-;-;-;;;
Can be used strictly offline;Yes$green;;;;;Yes$green;Yes$green;Yes$green;;;
Design$title-row;;;;;;;;;;;
Material design;Yes$green;;;;No$red;Yes$green;Yes, non-standard$lgreen;Yes$green;;;
Dynamic colors;Yes$green;;;;No$red;Yes$green;Yes$green;Yes$green;;;
Manual light/dark theme;Yes$green;;;;No$red;Yes$green;Yes$green;Yes$green;;;
Automatic light/dark theme;Yes$green;;;;No$red;Yes$green;Yes$green;Yes$green;;;
AMOLED theme;No$red;;;;Yes, only$lgreen;No$red;Yes$green;Yes$green;;;
Features$title-row;;;;;;;;;;;
%;;;;;Yes$green;Yes$green;Yes$green;;;;
Parenthesis;;;;;Yes$green;Yes$green;;;;;
History;Yes$green;;;;Yes$green;Yes$green;Yes$green;Yes$green;;;
Unit converter;No$red;;;;No$red;Yes$green;No$red;Yes$green;;;
Formatting customization ;No$red;;;;No$red;Yes$green;Yes, limited$lgreen;By changing app language$lgreen;;;
Permissions;Internet$yellow;;;;;None$green;None$green;None$green;;;
Haptic feedback;On press down$green;;;;No$red;On press up$yellow;On press up$yellow;On press up$yellow;;;
Haptics on/off;No$red;;;;No$red;Yes$green;Yes$green;Yes$green;;;
Currency rates;No$red;;;;No$lred;No$lred;No$lred;No$lred;;;
Landscape mode;Yes$green;;;;Yes, limited$yellow;Yes$green;Yes, unfinished$yellow;Yes$green;;;
Programmer mode;No$red;;;;;No$red;No$red;No$red;;;
Scientific operations$title-row;;;;;;;;;;;
On portrait mode;Yes$green;;;;Yes, only$lgreen;Yes$green;Yes$green;;;;
sin, cos, tan;Yes$green;;;;Yes, text-based$lgreen;Yes$green;No$red;No$red;;;
arcsin, arccos, arctan;Yes$green;;;;Yes, text-based$lgreen;Yes$green;No$red;No$red;;;
sinh, cosh, tanh;;;;;Yes, text-based$lgreen;No$red;No$red;No$red;;;
asinh, acosh, atanh;;;;;Yes, text-based$lgreen;No$red;No$red;No$red;;;
log, ln;Yes$green;;;;Yes, text-based$lgreen;Yes$green;No$red;No$red;;;
Custom base logarithm;;;;;Yes, text-based$lgreen;No$red;No$red;No$red;;;
sqrt;Yes$green;;;;Yes, text-based$lgreen;Yes$green;Yes$green;Yes$green;;;
cube root;;;;;Yes, text-based$lgreen;No$red;No$red;No$red;;;
pi;Yes$green;;;;Yes, text-based$lgreen;Yes$green;Yes$green;No$red;;;
e;Yes$green;;;;Yes$green;Yes$green;No$red;No$red;;;
e^x;Yes$green;;;;Yes$green;Yes$green;No$red;No$red;;;
x^y;Yes$green;;;;Yes$green;Yes$green;Yes$green;Yes$green;;;
x^2 shortcut;Yes$green;;;;No$lred;No$lred;No$red;No$red;;;
10^x shortcut;Yes$green;;;;No$lred;No$lred;No$red;No$red;;;
!;Yes$green;;;;Yes$green;Yes$green;Yes$green;No$red;;;
deg/rad switch;Yes$green;;;;Yes, text-based$lgreen;When pressing sin/cos/tan$lgreen;No$red;No$red;;;
Absolute value;No$red;;;;Yes, text-based$lgreen;Yes$green;No$red;No$red;;;
Complex numbers;No$red;;;;Yes$green;No$red;No$red;No$red;;;
Graphing$title-row;;;;;;;;;;;
2D;No$red;;;;Yes$green;No$red;No$red;No$red;;;
3D;No$red;;;;Yes$green;No$red;No$red;No$red;;;
